"اسم المنتج","رابط المنتج","صورة المنتج","السعر (درهم مغربي)","السعر قبل الخصم (درهم مغربي)"
"Rosemary Clove Strengthening Hair & Scalp Oil (NEW)","https://lemoracosmetics.com/products/rosemary-clove-strengthening-hair-scalp-oil","https://lemoracosmetics.com/cdn/shop/files/MOCKUP4.png?v=1745189016&width=533","239.26",""
"Pure Calendula Oil For Sensitive Skin & Scalp","https://lemoracosmetics.com/products/pure-calendula-oil","https://lemoracosmetics.com/cdn/shop/files/IMG_9845_1.jpg?v=1713770822&width=533","239.26",""
"Rosemary Peppermint Hair & Scalp Oil","https://lemoracosmetics.com/products/rosemary-peppermint-hair-scalp-oil","https://lemoracosmetics.com/cdn/shop/files/IMG_6695_1.jpg?v=1708824310&width=533","174.06",""
"Rosemary Ginger Hair & Scalp Oil","https://lemoracosmetics.com/products/rosemary-ginger-hair-scalp-oil-50ml","https://lemoracosmetics.com/cdn/shop/files/IMG_8048_1.jpg?v=1713772272&width=533","195.86",""
